category,question,answer
INC,Qu'est ce que le point éclair?,C'est la température à laquelle un liquide emet des gaz inflammable dont la combustion ne s'entretient pas au retrait de la flamme pilote.
INC,Quelle est la monnaie de la France?,Euro
SAP,Combien de couleurs y a-t-il dans un arc-en-ciel?,Sept
SAP,Quel est le symbole chimique du sodium?,Na
PPABE,Quelle est la formule chimique de l'eau?,H2O
PPABE,Quelle est la planète la plus proche du soleil?,Mercure
FDF,Quelle est la vitesse de la lumière?,299,792,458 mètres par seconde
FDF,Quelle est l'unité de mesure de la force?,Newton
GOG,Quel est le plus grand océan sur Terre?,Océan Pacifique
GOG,Quelle est la montagne la plus haute du monde?,Mont Everest
CAD,Que signifie CAP?,Commission Administrative paritaire
CAD,Que signifie CST?,Comié Social et Technique
